query,занятость,по должности-лемме,по дополнительному признаку,по условиям,общие фразы
подработка руководитель проекта,['подработка'],"руководитель, начальник",NaN,NaN,0
подработка с 12 лет раздача листовок,['подработка'],NaN,NaN,NaN,0
подработка с оплатой в конце дня,"['подработка', 'на неполный день']",NaN,NaN,с ежедневной оплатой,0
подработка сегодня в ночь,['подработка'],NaN,NaN,NaN,0
подработка сторожем,['подработка'],сторож,NaN,NaN,0
подработка сутки трое,['подработка'],NaN,NaN,NaN,0
подработка тренером,['подработка'],тренер,NaN,NaN,0
подработка уборщица владивосток,['подработка'],"уборщик, горничная",NaN,NaN,0
подработка уборщицей вечером,['подработка'],"уборщик, горничная",NaN,NaN,0
подработка школьникам на каникулах,['подработка'],NaN,['для школьников'],NaN,0
подработка южно сахалинск с ежедневной оплатой,['подработка'],NaN,NaN,с ежедневной оплатой,0
подработкс,NaN,NaN,NaN,NaN,1
подсобник работа,NaN,NaN,NaN,NaN,1
подсобный рабочий с ежедневной оплатой,NaN,рабочий,NaN,с ежедневной оплатой,0
поездной электромеханик вакансии,NaN,электромеханик,NaN,NaN,0
пожарная охрана вакансии,NaN,пожарный,NaN,NaN,0
пожарная работа,NaN,пожарный,NaN,NaN,0
пожарник вакансии,NaN,пожарный,NaN,NaN,0
пожарный водитель вакансии,NaN,пожарный,NaN,NaN,0
пожарный надзор вакансии,NaN,пожарный,NaN,NaN,0
пожарный поезд работа,NaN,пожарный,NaN,NaN,0
пожработка,NaN,NaN,NaN,NaN,1
поиск вакансий владивосток,NaN,NaN,NaN,NaN,1
поиск золото вакансии,NaN,NaN,NaN,NaN,1
поиск курьеров,NaN,курьер,NaN,NaN,0
поиск работы в москве вакансии медсестры,NaN,"медсестра, медбрат",NaN,NaN,0
поиск работы в москве вакансии от прямых работодателей,NaN,NaN,NaN,NaN,1
поиск работы для подростков,NaN,NaN,NaN,NaN,1
поиск работы для студентов,NaN,NaN,['для студентов'],NaN,0
поиск работы для школьников,NaN,NaN,['для школьников'],NaN,0
поиск работы кладовщик,NaN,кладовщик,NaN,NaN,0
поиск работы репетитор,NaN,репетитор,NaN,NaN,0
поисково спасательный отряд вакансии,NaN,NaN,NaN,NaN,1
показать вакансии,NaN,NaN,NaN,NaN,1
полиграфолог вакансии,NaN,NaN,NaN,NaN,1
поликлиника 3 вакансии,NaN,NaN,NaN,NaN,1
поликлиника 4 вакансии,NaN,NaN,NaN,NaN,1
поликлиника 6 вакансии,NaN,NaN,NaN,NaN,1
поликлиника 9 вакансии,NaN,NaN,NaN,NaN,1
поликлиника фсб вакансии,NaN,NaN,NaN,NaN,1
полировщик авто вакансии,NaN,изолировщик,NaN,NaN,0
политолог вакансии,NaN,NaN,NaN,NaN,1
полицейский водитель,NaN,полицейский,NaN,NaN,0
полиция работа,NaN,полицейский,NaN,NaN,0
помбур вакансии,NaN,NaN,NaN,NaN,1
помощник автомеханика вакансии,NaN,помощник,NaN,NaN,0
помощник бурильщика без опыта,NaN,помощник,['без опыта'],NaN,0
помощник бурильщика вакансии без опыта,NaN,помощник,['без опыта'],NaN,0
помощник водителя,NaN,помощник,NaN,NaN,0
помощник вожатого 14 лет вакансии,NaN,помощник,NaN,NaN,0
помощник вожатого в лагерь вакансии,NaN,помощник,NaN,NaN,0
помощник воспитателя вакансии,NaN,помощник,NaN,NaN,0
помощник воспитателя работа,NaN,помощник,NaN,NaN,0
помощник врача вакансии,NaN,помощник,NaN,NaN,0
помощник геодезиста без опыта,NaN,помощник,['без опыта'],NaN,0
помощник гипа вакансии,NaN,помощник,NaN,NaN,0
помощник грумера вакансии,NaN,помощник,NaN,NaN,0
помощник декоратора вакансии,NaN,помощник,NaN,NaN,0
помощник депутата вакансии,NaN,помощник,NaN,NaN,0
помощник директора вакансии,NaN,помощник,NaN,NaN,0
помощник кондитера без опыта,NaN,помощник,['без опыта'],NaN,0
помощник кондитера вакансии,NaN,помощник,NaN,NaN,0
помощник логиста без опыта,NaN,помощник,['без опыта'],NaN,0
помощник машиниста вакансии,NaN,помощник,NaN,NaN,0
помощник машиниста тепловоза вакансии,NaN,помощник,NaN,NaN,0
помощник механика вакансии,NaN,помощник,NaN,NaN,0
помощник мирового судьи вакансии,NaN,помощник,NaN,NaN,0
помощник патологоанатома вакансии,NaN,помощник,NaN,NaN,0
помощник педагога вакансии,NaN,помощник,NaN,NaN,0
помощник пекаря без опыта,NaN,помощник,['без опыта'],NaN,0
помощник печатника вакансии,NaN,помощник,NaN,NaN,0
помощник по хозяйству в загородный дом с проживанием,NaN,помощник,NaN,с проживанием,0
помощник по хозяйству с проживанием,NaN,помощник,NaN,с проживанием,0
помощник по хозяйству с проживанием без посредников,NaN,помощник,NaN,с проживанием,0
помощник повара вакансии,NaN,помощник,NaN,NaN,0
помощник повара с проживанием,NaN,помощник,NaN,с проживанием,0
помощник проводника вакансии,NaN,помощник,NaN,NaN,0
помощник продавца вакансии,NaN,помощник,NaN,NaN,0
помощник психолога вакансии,NaN,помощник,NaN,NaN,0
помощник руководителя вакансия,NaN,"руководитель, начальник",NaN,NaN,0
помощник судмедэксперта вакансии,NaN,помощник,NaN,NaN,0
помощник тренера вакансии,NaN,помощник,NaN,NaN,0
помощник учителя вакансии,NaN,помощник,NaN,NaN,0
помощник фармацевт работа,NaN,помощник,NaN,NaN,0
помощник швеи без опыта,NaN,помощник,['без опыта'],NaN,0
помощник экономиста вакансии,NaN,помощник,NaN,NaN,0
помощник юриста без опыта,NaN,помощник,['без опыта'],NaN,0
помощник юриста работа,NaN,помощник,NaN,NaN,0
помощница по хозяйству с проживанием,NaN,помощник,NaN,с проживанием,0
пони экспресс вакансии,NaN,NaN,NaN,NaN,1
пони экспресс работа,NaN,NaN,NaN,NaN,1
поработка,NaN,NaN,NaN,NaN,1
порт владивосток вакансии,NaN,NaN,NaN,NaN,1
порт восточный вакансии,NaN,NaN,NaN,NaN,1
порт работа,NaN,NaN,NaN,NaN,1
портной вакансии,NaN,портной,NaN,NaN,0
портной работа,NaN,портной,NaN,NaN,0
портовые буксиры вакансии,NaN,NaN,NaN,NaN,1
портофлот вакансии,NaN,NaN,NaN,NaN,1
посменная работа,['посменная'],NaN,NaN,NaN,0
посольство индии вакансии,NaN,NaN,NaN,NaN,1
пост работа,NaN,NaN,NaN,NaN,1
посудомойщица вакансии,NaN,NaN,NaN,NaN,1
посуточная оплата работа,['посуточная'],NaN,NaN,с ежедневной оплатой,0
посуточная работа,['посуточная'],NaN,NaN,NaN,0
похоронное агентство вакансии,NaN,NaN,NaN,NaN,1
похоронное бюро вакансии,NaN,NaN,NaN,NaN,1
похоронный агент вакансии,NaN,NaN,NaN,NaN,1
почасовая работа,NaN,NaN,NaN,NaN,1
почасовая работа для студентов,NaN,NaN,['для студентов'],NaN,0
почта работа,NaN,NaN,NaN,NaN,1
почта россии вакансии,NaN,NaN,NaN,NaN,1
почта россии вакансии владивосток,NaN,NaN,NaN,NaN,1
почта россии водитель,NaN,водитель,NaN,NaN,0
ппс вакансии,NaN,NaN,NaN,NaN,1
ппс работа,NaN,NaN,NaN,NaN,1
прапорщик вакансии,NaN,NaN,NaN,NaN,1
прачечная работа,NaN,прачечник,NaN,NaN,0
прачка работа,NaN,NaN,NaN,NaN,1
прдработка,NaN,NaN,NaN,NaN,1
предрейсовый вакансии,NaN,NaN,NaN,NaN,1
предрейсовый осмотр вакансии сутки через трое,NaN,NaN,NaN,NaN,1
преподаватель python вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель автошколы вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель английского онлайн вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель бухгалтерского учета вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель в вузе вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель в колледж вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель вокала вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель изо вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель истории вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель итальянского языка вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель китайского языка онлайн вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель маркетинга вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель мастер классов вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель музыки вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель обж вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель онлайн школы вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель права вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель программирования вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель психологии вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель рки вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель робототехники вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель русского языка в китае вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель русского языка для иностранцев вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель русского языка как иностранного вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель скорочтения вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель танцев вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель физики вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель философии вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель фортепиано вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель черчения вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель экономических дисциплин вакансии,NaN,преподаватель,NaN,NaN,0
преподаватель юриспруденции вакансии,NaN,преподаватель,NaN,NaN,0
пресс служба вакансии,NaN,NaN,NaN,NaN,1
пресс служба мвд вакансии,NaN,NaN,NaN,NaN,1
приемосдатчик вакансии,NaN,приемщик,NaN,NaN,0
приемосдатчик груза и багажа ржд вакансии,NaN,приемщик,NaN,NaN,0
приемосдатчик ржд вакансии,NaN,приемщик,NaN,NaN,0
приемщик металла вакансии,NaN,приемщик,NaN,NaN,0
приемщик товара вакансии,NaN,приемщик,NaN,NaN,0
примкраб вакансии,NaN,NaN,NaN,NaN,1
приморский кондитер вакансии владивосток,NaN,кондитер,NaN,NaN,0
приморский океанариум вакансии,NaN,NaN,NaN,NaN,1
примтеплоэнерго вакансии,NaN,NaN,NaN,NaN,1
пристав исполнитель вакансии,NaN,NaN,NaN,NaN,1
приставы вакансии,NaN,NaN,NaN,NaN,1
приставы работа,NaN,NaN,NaN,NaN,1
проведение мастер классов вакансии,NaN,NaN,NaN,NaN,1
провизор работа,NaN,провизор,NaN,NaN,0
проводник багажного вагона вакансии,NaN,бортпроводник,NaN,NaN,0
проводник на поезд вакансии,NaN,бортпроводник,NaN,NaN,0
проводник почтового вагона вакансии,NaN,бортпроводник,NaN,NaN,0
проводник работа,NaN,бортпроводник,NaN,NaN,0
проводник ржд вакансии,NaN,бортпроводник,NaN,NaN,0
програмист работа,NaN,программист,NaN,NaN,0
программирование вакансии,NaN,NaN,NaN,NaN,1
продавец без опыта,NaN,продавец,['без опыта'],NaN,0
продавец в зоомагазин вакансии,NaN,продавец,NaN,NaN,0
продавец в книжный магазин вакансии,NaN,продавец,NaN,NaN,0
продавец в шоурум вакансии,NaN,продавец,NaN,NaN,0
продавец выходного дня вакансии,"['по выходным', 'на неполный день']",продавец,NaN,NaN,0
продавец консультант без опыта,NaN,продавец,['без опыта'],NaN,0
продавец консультант одежды вакансии,NaN,продавец,NaN,NaN,0
продавец консультант парфюмерии и косметики вакансии,NaN,продавец,NaN,NaN,0
продавец на лоток с ежедневной оплатой,NaN,продавец,NaN,с ежедневной оплатой,0
продавец нижнего белья вакансии,NaN,продавец,NaN,NaN,0
продавец обуви вакансии,NaN,продавец,NaN,NaN,0
продавец одежды вакансии,NaN,продавец,NaN,NaN,0
продавец пива вакансии,NaN,продавец,NaN,NaN,0
продавец подарков вакансии,NaN,продавец,NaN,NaN,0
продавец разливного пива вакансии,NaN,продавец,NaN,NaN,0
продавец свежие вакансии,NaN,продавец,NaN,NaN,0
продавец спортивного питания вакансии,NaN,продавец,NaN,NaN,0
продавец флорист вакансии,NaN,продавец,NaN,NaN,0
продажа автомобилей вакансии,NaN,NaN,NaN,NaN,1
продюсер съемок вакансии,NaN,NaN,NaN,NaN,1
проектировщик работа,NaN,проектировщик,NaN,NaN,0
прокуратура вакансии,NaN,NaN,NaN,NaN,1
прокуратура приморского края вакансии,NaN,NaN,NaN,NaN,1
промальп вакансии,NaN,промышленный альпинист,NaN,NaN,0
промышленный альпинист вакансии москва,NaN,промышленный альпинист,NaN,NaN,0
прораб вакансия,NaN,прораб,NaN,NaN,0
прораб сантехнических работ,NaN,прораб,NaN,NaN,0
профсоюз вакансии,NaN,NaN,NaN,NaN,1
процедурная медсестра вакансии,NaN,"медсестра, медбрат",NaN,NaN,0
прямые вакансии от судовладельцев,NaN,NaN,NaN,NaN,1
психиатр вакансии,NaN,NaN,NaN,NaN,1
психиатр нарколог вакансии,NaN,NaN,NaN,NaN,1
психиатрическая больница 3 вакансии,NaN,NaN,NaN,NaN,1
психиатрическая больница вакансии клинический психолог,NaN,психолог,NaN,NaN,0
психолог в поликлинике вакансии,NaN,психолог,NaN,NaN,0
психолог вакансия,NaN,психолог,NaN,NaN,0
психолог на горячую линию вакансии,NaN,психолог,NaN,NaN,0
психолог на телефон доверия вакансии москва,NaN,психолог,NaN,NaN,0
психолог онлайн вакансии,NaN,психолог,NaN,NaN,0
психолог работа,NaN,психолог,NaN,NaN,0
психолог фсин вакансии,NaN,психолог,NaN,NaN,0
психология вакансии,NaN,психолог,NaN,NaN,0
птб барс вакансии,NaN,NaN,NaN,NaN,1
птб вакансии,NaN,NaN,NaN,NaN,1
пункт выдачи wildberries работа,NaN,NaN,NaN,NaN,1
пункт выдачи вб работа,NaN,NaN,NaN,NaN,1
пункт выдачи заказов работа,NaN,NaN,NaN,NaN,1
пункт выдачи работа,NaN,NaN,NaN,NaN,1
путина работа на сахалине,NaN,NaN,NaN,NaN,1
пчеловод вакансии,NaN,пчеловод,NaN,NaN,0
пятерочка вакансии владивосток,NaN,NaN,NaN,NaN,1
пятерочка владивосток вакансии,NaN,NaN,NaN,NaN,1
пятерочка работа,NaN,NaN,NaN,NaN,1
р вахта вакансии,['вахта'],вахтер,NaN,NaN,0
работа 08,NaN,NaN,NaN,NaN,1
работа 10,NaN,NaN,NaN,NaN,1
работа 10 лет,NaN,NaN,NaN,NaN,1
работа 100 000 рублей в месяц,NaN,NaN,NaN,NaN,1
работа 13 лет,NaN,NaN,NaN,NaN,1
работа 13 лет расклейщик объявлений,NaN,NaN,NaN,NaN,1
работа 14,NaN,NaN,NaN,NaN,1
работа 14 лет владивосток,NaN,NaN,NaN,NaN,1
работа 15 лет,NaN,NaN,NaN,NaN,1
работа 17 лет,NaN,NaN,NaN,NaN,1
работа 18,NaN,NaN,NaN,NaN,1
работа 1с,NaN,NaN,NaN,NaN,1
работа 2 2 вакансии,NaN,NaN,NaN,NaN,1
работа 2 2 ночь уборщица,NaN,"уборщик, горничная",NaN,NaN,0
работа 2 3 часа в день удаленно,"['на неполный день', 'удаленная']",NaN,NaN,NaN,0
работа 2 4,NaN,NaN,NaN,NaN,1
работа 2 часа в день,['на неполный день'],NaN,NaN,NaN,0
работа 2000 в день,['на неполный день'],NaN,NaN,NaN,0
работа 21 век вакансии водитель,NaN,водитель,NaN,NaN,0
работа 3 помощник капитана,NaN,помощник,NaN,NaN,0
работа 350 рублей в час москва,NaN,NaN,NaN,NaN,1
работа 4 часа в день,['на неполный день'],NaN,NaN,NaN,0
работа 4 часа в день удаленно,"['на неполный день', 'удаленная']",NaN,NaN,NaN,0
работа 5 2,NaN,NaN,NaN,NaN,1
работа 6000 рублей в день,['на неполный день'],NaN,NaN,NaN,0
работа 7 7,NaN,NaN,NaN,NaN,1
работа bg,NaN,NaN,NaN,NaN,1
работа cdek,NaN,NaN,NaN,NaN,1
работа dj,NaN,диджей,NaN,NaN,0
работа dns,NaN,NaN,NaN,NaN,1
работа farpost владивосток,NaN,NaN,NaN,NaN,1
работа hr,NaN,NaN,NaN,NaN,1
работа it,NaN,NaN,NaN,NaN,1
работа it специалист,NaN,специалист ахо,NaN,NaN,0
работа kfc,NaN,NaN,NaN,NaN,1
работа maag,NaN,NaN,NaN,NaN,1
работа python без опыта,NaN,NaN,['без опыта'],NaN,0
работа smm,NaN,NaN,NaN,NaN,1
работа smm менеджер,NaN,менеджер,NaN,NaN,0
работа unreal engine,NaN,NaN,NaN,NaN,1
работа whatsapp,NaN,NaN,NaN,NaN,1
работа автоинструктором,NaN,инструктор,NaN,NaN,0
работа автомаляр в москве с проживанием,NaN,автомаляр,NaN,с проживанием,0
работа автомехаником без опыта,NaN,мотомеханик,['без опыта'],NaN,0
работа автомойка с проживанием,NaN,NaN,NaN,с проживанием,0
работа автосервис,NaN,NaN,NaN,NaN,1
работа агент,NaN,NaN,NaN,NaN,1
работа администратор автомойки,NaN,администратор,NaN,NaN,0
работа администратор базы отдыха,NaN,администратор,NaN,NaN,0
работа администратор в стоматологию,NaN,администратор,NaN,NaN,0
работа администратор горничная,NaN,администратор,NaN,NaN,0
работа администратор гостиницы,NaN,администратор,NaN,NaN,0
работа администратор кассир,NaN,администратор,NaN,NaN,0
работа администратор ресторана,NaN,администратор,NaN,NaN,0
работа администратора в клинике,NaN,администратор,NaN,NaN,0
работа администратором владивосток,NaN,администратор,NaN,NaN,0
работа администратором с проживанием,NaN,администратор,NaN,с проживанием,0
работа админом в пк клубе,NaN,NaN,NaN,NaN,1
работа айти,NaN,NaN,NaN,NaN,1
работа айти вакансии,NaN,NaN,NaN,NaN,1
работа актер,NaN,NaN,NaN,NaN,1
работа акушерки,NaN,акушер,NaN,NaN,0
работа альпинист,NaN,промышленный альпинист,NaN,NaN,0
работа анадырь,NaN,NaN,NaN,NaN,1
работа аналитик данных без опыта,NaN,аналитик,['без опыта'],NaN,0
работа аналитиком удаленно без опыта,['удаленная'],аналитик,['без опыта'],NaN,0
работа английский,NaN,NaN,NaN,NaN,1
работа английский язык,NaN,NaN,NaN,NaN,1
работа анестезиолог реаниматолог,NaN,NaN,NaN,NaN,1
работа антрацит,NaN,NaN,NaN,NaN,1
работа аптека,NaN,NaN,NaN,NaN,1
работа аргонщик,NaN,NaN,NaN,NaN,1
работа артем,NaN,NaN,NaN,NaN,1
работа архивариус,NaN,архивариус,NaN,NaN,0
работа ассенизатором,NaN,NaN,NaN,NaN,1
работа аудит,NaN,аудитор,NaN,NaN,0
работа афто маляр владивосток,NaN,маляр,NaN,NaN,0
работа аэропорт владивосток,NaN,NaN,NaN,NaN,1
работа бам вахта,['вахта'],вахтер,NaN,NaN,0
работа банщиком,NaN,банщик,NaN,NaN,0
работа барбером,NaN,NaN,NaN,NaN,1
работа бариста для подростков,NaN,артист,NaN,NaN,0
работа бариста для студентов,NaN,артист,['для студентов'],NaN,0
работа бариста до 18 лет,NaN,артист,NaN,NaN,0
работа бармен с проживанием,NaN,бармен,NaN,с проживанием,0
работа барменом для студентов,NaN,бармен,['для студентов'],NaN,0
работа башенного крана,NaN,NaN,NaN,NaN,1
работа без документов,NaN,NaN,NaN,NaN,1
работа без клиентов,NaN,NaN,NaN,NaN,1
работа без образования на дому,['на дому'],NaN,NaN,NaN,0
работа без опыта с высшим образованием,NaN,NaN,['без опыта'],NaN,0
работа без опыта студенты,NaN,NaN,"['без опыта', 'для студентов']",NaN,0
работа без оформления для пенсионеров,NaN,NaN,['для пенсионеров'],NaN,0
работа без паспорта,NaN,NaN,NaN,NaN,1
работа без посредников,NaN,NaN,NaN,NaN,1
работа безопасность,NaN,NaN,NaN,NaN,1
работа бетонщик владивосток,NaN,бетонщик,NaN,NaN,0
работа бетонщиком вахта,['вахта'],бетонщик,NaN,NaN,0
работа бизнес аналитик,NaN,аналитик,NaN,NaN,0
работа биолога в лаборатории,NaN,биолог,NaN,NaN,0
работа большой камень,NaN,NaN,NaN,NaN,1
работа борисов биржа труда,NaN,NaN,NaN,NaN,1
работа ботанический сад,NaN,NaN,NaN,NaN,1
работа боцман,NaN,боцман,NaN,NaN,0
работа бристоль,NaN,NaN,NaN,NaN,1
работа букмекерская контора,NaN,кондуктор,NaN,NaN,0
работа бульдозеристом,NaN,NaN,NaN,NaN,1
работа бульдозеристом вахта,['вахта'],вахтер,NaN,NaN,0
работа бурильщиком,NaN,бурильщик,NaN,NaN,0
работа бустером,NaN,NaN,NaN,NaN,1
работа буфетчик,NaN,буфетчик,NaN,NaN,0
работа буфетчица,NaN,буфетчик,NaN,NaN,0
работа буфетчицей в больнице,NaN,буфетчик,NaN,NaN,0
работа бухгалтером в бюджетной организации,NaN,бухгалтер,NaN,NaN,0
работа в 16,NaN,NaN,NaN,NaN,1
работа в 17,NaN,NaN,NaN,NaN,1
работа в 3 смены,NaN,NaN,NaN,NaN,1
работа в 3d,NaN,NaN,NaN,NaN,1
работа в 65 лет,NaN,NaN,NaN,NaN,1
работа в call центре,NaN,NaN,NaN,NaN,1
работа в delivery club,NaN,NaN,NaN,NaN,1
работа в it без опыта с обучением,NaN,NaN,['без опыта'],NaN,0
работа в it с обучением,NaN,NaN,NaN,NaN,1
работа в ozon,NaN,NaN,NaN,NaN,1
работа в yota,NaN,NaN,NaN,NaN,1
работа в автомагазине,NaN,NaN,NaN,NaN,1
работа в автосалоне,NaN,NaN,NaN,NaN,1
работа в автосервисе без опыта,NaN,NaN,['без опыта'],NaN,0
работа в автошколе,NaN,NaN,NaN,NaN,1
работа в администрации владивостока,NaN,NaN,NaN,NaN,1
работа в администрации города,NaN,NaN,NaN,NaN,1
работа в айкос,NaN,NaN,NaN,NaN,1
работа в аккредитованной ит компании,NaN,NaN,NaN,NaN,1
работа в алкогольной компании,NaN,NaN,NaN,NaN,1
работа в альфа банке,NaN,NaN,NaN,NaN,1
работа в анадыре чукотский ао,NaN,NaN,NaN,NaN,1
работа в аниме магазине,NaN,NaN,NaN,NaN,1
работа в аптеке вакансии,NaN,NaN,NaN,NaN,1
работа в аптеке студентам,NaN,NaN,['для студентов'],NaN,0
работа в арбитражном суде,NaN,NaN,NaN,NaN,1
работа в армии,NaN,NaN,NaN,NaN,1
работа в армии вакансии,NaN,NaN,NaN,NaN,1
работа в артеме два через два три через три,NaN,NaN,NaN,NaN,1
работа в археологической экспедиции,NaN,NaN,NaN,NaN,1
работа в археологической экспедиции 2023,NaN,NaN,NaN,NaN,1
работа в архиве,NaN,NaN,NaN,NaN,1
работа в ателье,NaN,NaN,NaN,NaN,1
работа в атланте,NaN,NaN,NaN,NaN,1
работа в ахо,NaN,NaN,NaN,NaN,1
работа в б,NaN,NaN,NaN,NaN,1
работа в бане,NaN,NaN,NaN,NaN,1
работа в банке со средним образованием,NaN,NaN,NaN,NaN,1
работа в барбершопе,NaN,NaN,NaN,NaN,1
работа в библиотеке,NaN,библиотекарь,NaN,NaN,0
работа в билайн зарплата,NaN,NaN,NaN,NaN,1
работа в больнице,NaN,NaN,NaN,NaN,1
работа в больнице без медицинского образования,NaN,NaN,NaN,NaN,1
работа в бюро переводов,NaN,переводчик,NaN,NaN,0
работа в вайлдберриз вакансии,NaN,NaN,NaN,NaN,1
работа в вахтовом поселке для женщин уборщица,NaN,"уборщик, горничная",['для женщин'],NaN,0
работа в вейп шопе,NaN,NaN,NaN,NaN,1
работа в вейпшопе,NaN,NaN,NaN,NaN,1
работа в вечернее и ночное время,"['вечерняя', 'ночная']",NaN,NaN,NaN,0
работа в винлаб,NaN,NaN,NaN,NaN,1
работа в владивостоке для граждан снг,NaN,NaN,NaN,NaN,1
работа в военкомате,NaN,NaN,NaN,NaN,1
работа в военной части,NaN,NaN,NaN,NaN,1
работа в воинской части,NaN,NaN,NaN,NaN,1
работа в воинской части для женщин,NaN,NaN,['для женщин'],NaN,0
работа в войсковой части,NaN,NaN,NaN,NaN,1
работа в волгограде срочно,NaN,NaN,NaN,NaN,1
работа в всу для женщин,NaN,NaN,['для женщин'],NaN,0
работа в вузе,NaN,NaN,NaN,NaN,1
работа в выходные,['по выходным'],NaN,NaN,NaN,0
работа в выходные дни вакансии,"['по выходным', 'на неполный день']",NaN,NaN,NaN,0
работа в газете вакансии,NaN,NaN,NaN,NaN,1
работа в гардеробе,NaN,гардеробщик,NaN,NaN,0
работа в гбр,NaN,охранник,NaN,NaN,0
работа в гибдд,NaN,NaN,NaN,NaN,1
работа в гибдд для женщин,NaN,NaN,['для женщин'],NaN,0
работа в гло,NaN,NaN,NaN,NaN,1
работа в глубоком вахтой,['вахта'],вахтер,NaN,NaN,0
работа в городе,NaN,NaN,NaN,NaN,1
работа в гос органах,NaN,NaN,NaN,NaN,1
работа в гос органах вакансии,NaN,NaN,NaN,NaN,1
работа в гос организациях,NaN,NaN,NaN,NaN,1
работа в госдуме,NaN,NaN,NaN,NaN,1
работа в госорганах,NaN,NaN,NaN,NaN,1
работа в госструктуре,NaN,NaN,NaN,NaN,1
работа в гостинице,NaN,NaN,NaN,NaN,1
работа в гостинице с проживанием,NaN,NaN,NaN,с проживанием,0
работа в государственных учреждениях,NaN,NaN,NaN,NaN,1
работа в государственных учреждениях без опыта,NaN,NaN,['без опыта'],NaN,0
работа в госучреждениях,NaN,NaN,NaN,NaN,1
работа в грозном посудомойщица,NaN,NaN,NaN,NaN,1
работа в двфу отзывы,NaN,NaN,NaN,NaN,1
работа в дельфинарии,NaN,NaN,NaN,NaN,1
работа в детейлинге,NaN,NaN,NaN,NaN,1
работа в детский сад,NaN,NaN,NaN,NaN,1
работа в детских домах,NaN,NaN,NaN,NaN,1
работа в детском лагере,NaN,NaN,NaN,NaN,1
работа в детском лагере 2023,NaN,NaN,NaN,NaN,1
работа в детском лагере на море 2023,NaN,NaN,NaN,NaN,1
работа в детском мире,NaN,NaN,NaN,NaN,1
работа в детском садике,NaN,NaN,NaN,NaN,1
работа в детском саду помощник воспитателя,NaN,помощник,NaN,NaN,0
работа в дизайне,NaN,дизайнер,NaN,NaN,0
работа в днр и лнр вахта,['вахта'],вахтер,NaN,NaN,0
работа в днр лнр,NaN,NaN,NaN,NaN,1
работа в днс,NaN,NaN,NaN,NaN,1
работа в доброфлоте отзывы,NaN,NaN,NaN,NaN,1
работа в доме престарелых с проживанием,NaN,NaN,NaN,с проживанием,0
работа в дорожной службе,NaN,NaN,NaN,NaN,1
работа в дпс,NaN,NaN,NaN,NaN,1
работа в дпс требования,NaN,NaN,NaN,NaN,1
работа в емельяново,NaN,NaN,NaN,NaN,1
работа в жд,NaN,NaN,NaN,NaN,1
работа в жд вокзале,NaN,NaN,NaN,NaN,1
работа в животноводстве,NaN,животновод,NaN,NaN,0
работа в животноводстве с проживанием,NaN,животновод,NaN,с проживанием,0
работа в жкх вакансии,NaN,NaN,NaN,NaN,1
работа в загсе вакансии,NaN,NaN,NaN,NaN,1
работа в загсе зарплата,NaN,NaN,NaN,NaN,1
работа в заповеднике вакансии,NaN,NaN,NaN,NaN,1
работа в зарине,NaN,NaN,NaN,NaN,1
работа в зоне сво,NaN,NaN,NaN,NaN,1
работа в зоне сво для женщин,NaN,NaN,['для женщин'],NaN,0
работа в зоомагазине,NaN,NaN,NaN,NaN,1
работа в игре,NaN,NaN,NaN,NaN,1
работа в игровом клубе,NaN,NaN,NaN,NaN,1
работа в издательстве,NaN,NaN,NaN,NaN,1
работа в издательстве удаленно,['удаленная'],NaN,NaN,NaN,0
работа в израиле вакансии от прямых работодателей,NaN,NaN,NaN,NaN,1
работа в инкассации,NaN,NaN,NaN,NaN,1
работа в интернате,NaN,NaN,NaN,NaN,1
работа в интернет кафе,NaN,NaN,NaN,NaN,1
работа в интернет магазине,NaN,NaN,NaN,NaN,1
работа в интернет магазине одежды на дому,['на дому'],NaN,NaN,NaN,0
